5538.225,-301.66,1
5538.225,-301.66,2
5538.225,-301.66,3
5538.225,-263.23,2
5538.225,-263.23,3
5538.225,-224.8,1
5538.225,-224.8,2
5538.225,-224.8,3
5538.225,-186.37,3
5538.225,-147.94,2
5538.225,-147.94,3
5538.225,-109.51,2
5538.225,-109.51,3
5538.225,-71.08,1
5538.225,-71.08,3
5538.225,-32.65,1
5538.225,-32.65,2
5538.225,-32.65,3
5538.225,5.78,2
5538.225,5.78,3
5538.225,44.21,2
5538.225,44.21,3
5538.225,82.64,2
5538.225,82.64,3
5538.225,121.07,3
5538.225,159.5,1
5538.225,159.5,2
5538.225,159.5,3
5538.225,197.93,2
5538.225,197.93,3
5538.225,236.36,1
5538.225,236.36,2
5538.225,236.36,3
5538.225,274.79,2
5538.225,274.79,3
5538.225,313.22,2
5538.225,313.22,3
5538.225,351.65,2
5538.225,351.65,3
5539.122,-224.6746,3
5539.13,-147.8146,3
5539.13,159.6212,3
5539.158,121.1954,2
5539.169,236.4854,2
5539.178,313.3454,2
5539.51,44.38429,3
5539.538,5.958851,2
5539.549,82.81885,3
5540.163,-109.2426,3
5540.388,-262.9261,3
5540.408,-186.0661,2
5540.446,-32.34612,3
5540.543,351.9539,2
5540.956,-70.7048,3
5541.11,198.3147,3
5542.705,-301.0278,3
5542.912,275.4096,3
5543.509,6.322374,3
5543.509,83.18237,1
5544.484,-224.1572,2
5544.489,121.7128,2
5544.489,160.1428,3
5544.491,237.0028,3
5544.492,313.8628,3
5544.686,-223.8963,1
5544.687,160.3652,3
5544.744,-147.0363,1
5544.795,-147.2653,3
5544.801,121.9543,2
5545.031,237.2636,2
5545.089,314.1235,3
5545.325,-300.9306,3
5545.578,275.5443,3
5546.526,6.910842,3
5546.598,83.7708,3
5547.371,45.45057,3
5547.894,198.9221,1
5548.406,-70.0347,2
5549.819,-107.9095,3
5550.504,-261.9689,3
5550.51,-31.38894,3
5551.368,352.9979,3
5551.794,-184.9767,3
5551.915,-261.3063,3
5552.037,-184.4464,3
5552.282,-30.72658,3
5552.895,353.573,3
5553.719,-68.95069,2
5554.496,200.0992,2
5555.415,-107.7455,3
5557.973,46.23624,3
5558.986,7.910344,3
5558.99,84.77034,2
5559.962,-298.5914,1
5561.122,277.8163,3
5562.115,-222.3475,1
5562.134,123.5225,3
5562.136,161.9525,2
5562.14,238.8125,3
5562.144,315.6725,3
5562.875,-145.41,3
5564.331,277.4667,3
5564.622,-298.95,3
5566.521,-220.8409,3
5566.773,-143.9814,3
5566.87,163.3348,1
5567.199,124.9656,3
5568.034,240.3164,3
5568.286,317.1759,3
5569.218,-67.89998,3
5570.078,201.1963,3
5574.645,49.14955,3
5575.476,10.85455,3
5575.548,355.4758,2
